CURVE,X,Y
1351,1,0.7
1351,10,7.1
1351,20,14.3
1351,30,21.4
1351,40,28.6
1351,60,42.8
1351,70,50
1351,80,57.1
1351,90,64.3
1351,110,78.5
1351,120,85.7
1351,130,92.8
1351,140,100
1351,160,114.2
1351,170,121.4
1351,180,128.5
1351,190,135.7
1351,210,149.9
1351,220,157.1
1351,230,164.2
1351,240,171.4
1351,260,185.6
1351,270,192.8
1351,280,199.9
1351,290,207.1
1351,299,213.5
1064,0,0.7
1064,1,0.7
1064,10,7.1
1064,20,14.3
1064,30,21.4
1064,40,28.6
1064,60,42.8
1064,70,50
1064,80,57.1
1064,90,64.3
1064,110,78.5
1064,120,85.7
1064,130,92.8
1064,140,100
1064,160,114.2
1064,170,121.4
1064,180,128.5
1064,190,135.7
1064,210,149.9
1064,220,157.1
1064,230,164.2
1064,240,171.4
1064,260,185.6
1064,270,192.8
1064,280,199.9
1064,290,207.1
1064,299,213.5
213,0,0.7
213,1,0.7
213,10,6.5
213,20,13.1
213,30,19.6
213,40,26.2
213,60,39.2
213,70,45.8
213,80,52.3
213,90,58.9
213,110,71.9
213,120,78.5
213,130,85
213,140,91.6
213,160,104.6
213,170,111.2
213,180,117.7
213,190,124.3
213,210,137.3
213,220,143.9
213,230,150.4
213,240,157
213,260,170
213,270,176.6
213,280,183.1
213,290,189.7
213,299,195.5
1442,0,0.7
1442,1,0.7
1442,10,7.1
1442,20,14.3
1442,30,21.4
1442,40,28.6
1442,60,42.8
1442,70,50
1442,80,57.1
1442,90,64.3
1442,110,78.5
1442,120,85.7
1442,130,92.8
1442,140,100
1442,160,114.2
1442,170,121.4
1442,180,128.5
1442,190,135.7
1442,210,149.9
1442,220,157.1
1442,230,164.2
1442,240,171.4
1442,260,185.6
1442,270,192.8
1442,280,199.9
1442,290,207.1
1442,299,213.5
1101,0,0.7
1101,1,0.7
1101,10,6.5
1101,20,13.1
1101,30,19.6
1101,40,26.2
1101,60,39.2
1101,70,45.8
1101,80,52.3
1101,90,58.9
1101,110,71.9
1101,120,78.5
1101,130,85
1101,140,91.6
1101,160,104.6
1101,170,111.2
1101,180,117.7
1101,190,124.3
1101,210,137.3
1101,220,143.9
1101,230,150.4
1101,240,157
1101,260,170
1101,270,176.6
1101,280,183.1
1101,290,189.7
1101,299,195.5
812,0,0.7
812,1,0.7
812,10,6.5
812,20,13.1
812,30,19.6
812,40,26.2
812,60,39.2
812,70,45.8
812,80,52.3
812,90,58.9
812,110,71.9
812,120,78.5
812,130,85
812,140,91.6
812,160,104.6
812,170,111.2
812,180,117.7
812,190,124.3
812,210,137.3
812,220,143.9
812,230,150.4
812,240,157
812,260,170
812,270,176.6
812,280,183.1
812,290,189.7
812,299,195.5
1719,0,0.7
1719,1,0.7
1719,10,6.5
1719,20,13.1
1719,30,19.6
1719,40,26.2
1719,60,39.2
1719,70,45.8
1719,80,52.3
1719,90,58.9
1719,110,71.9
1719,120,78.5
1719,130,85
1719,140,91.6
1719,160,104.6
1719,170,111.2
1719,180,117.7
1719,190,124.3
1719,210,137.3
1719,220,143.9
1719,230,150.4
1719,240,157
1719,260,170
1719,270,176.6
1719,280,183.1
1719,290,189.7
1719,299,195.5
1301,0,0.7
1301,1,0.7
1301,10,6.5
1301,20,13.1
1301,30,19.6
1301,40,26.2
1301,60,39.2
1301,70,45.8
1301,80,52.3
1301,90,58.9
1301,110,71.9
1301,120,78.5
1301,130,85
1301,140,91.6
1301,160,104.6
1301,170,111.2
1301,180,117.7
1301,190,124.3
1301,210,137.3
1301,220,143.9
1301,230,150.4
1301,240,157
1301,260,170
1301,270,176.6
1301,280,183.1
1301,290,189.7
1301,299,195.5
1738,0,0.7
1738,1,0.7
1738,10,6.5
1738,20,13.1
1738,30,19.6
1738,40,26.2
1738,60,39.2
1738,70,45.8
1738,80,52.3
1738,90,58.9
1738,110,71.9
1738,120,78.5
1738,130,85
1738,140,91.6
1738,160,104.6
1738,170,111.2
1738,180,117.7
1738,190,124.3
1738,210,137.3
1738,220,143.9
1738,230,150.4
1738,240,157
1738,260,170
1738,270,176.6
1738,280,183.1
1738,290,189.7
1738,299,195.5
1502,0,0.7
1502,1,0.7
1502,10,6.5
1502,20,13.1
1502,30,19.6
1502,40,26.2
1502,60,39.2
1502,70,45.8
1502,80,52.3
1502,90,58.9
1502,110,71.9
1502,120,78.5
1502,130,85
1502,140,91.6
1502,160,104.6
1502,170,111.2
1502,180,117.7
1502,190,124.3
1502,210,137.3
1502,220,143.9
1502,230,150.4
