CURVE,X,Y
1496,89,0
1496,90,66.6
1496,100,75.4
1496,110,83.4
1496,120,90.9
1496,130,97.8
1496,140,104.1
1496,150,109.8
1496,160,115
826,89,0
826,90,66.6
826,100,75.4
826,110,83.4
826,120,90.9
826,130,97.8
826,140,104.1
826,150,109.8
826,160,115
707,89,0
707,90,66.6
707,100,75.4
707,110,83.4
707,120,90.9
707,130,97.8
707,140,104.1
707,150,109.8
707,160,115
176,89,0
176,90,66.6
176,100,75.4
176,110,83.4
176,120,90.9
176,130,97.8
176,140,104.1
176,150,109.8
176,160,115
2065,89,0
2065,90,48.5
2065,100,54.4
2065,110,59.9
2065,120,65
2065,130,69.7
2065,140,73.8
2065,150,77.6
2065,160,81.1
2065,170,84.3
2065,180,87.2
2065,190,89.9
2065,200,92.2
2065,210,94.4
2065,220,96.3
645,89,0
645,90,48.5
645,100,54.4
645,110,59.9
645,120,65
645,130,69.7
645,140,73.8
645,150,77.6
645,160,81.1
645,170,84.3
645,180,87.2
645,190,89.9
645,200,92.2
645,210,94.4
645,220,96.3
1553,89,0
1553,90,48.5
1553,100,54.4
1553,110,59.9
1553,120,65
1553,130,69.7
1553,140,73.8
1553,150,77.6
1553,160,81.1
1553,170,84.3
1553,180,87.2
1553,190,89.9
1553,200,92.2
1553,210,94.4
1553,220,96.3
89,89,0
89,90,48.5
89,100,54.4
89,110,59.9
89,120,65
89,130,69.7
89,140,73.8
89,150,77.6
89,160,81.1
89,170,84.3
89,180,87.2
89,190,89.9
89,200,92.2
89,210,94.4
89,220,96.3
1552,89,0
1552,90,97.1
1552,100,108.8
1552,110,119.8
1552,120,130.1
1552,130,139.4
1552,140,147.7
1552,150,155.2
1552,160,162.2
1552,170,168.6
1552,180,174.3
1552,190,179.7
1552,200,184.5
1552,210,188.8
1552,220,192.6
1769,89,0
1769,90,111
1769,100,125.7
1769,110,139.1
1769,120,151.4
1769,130,163.1
1769,140,173.5
1769,150,183
1769,160,191.6
709,89,0
709,90,111
709,100,125.7
709,110,139.1
709,120,151.4
709,130,163.1
709,140,173.5
709,150,183
709,160,191.6
708,89,0
708,90,266.6
708,100,301.5
708,110,333.7
708,120,363.5
708,130,391.4
708,140,416.5
