AU,Age,Yield,Height,DBHq,TPH,GrossYield,CrownCover,MAI,BasalArea000,DBHg000,SPH000,StemCount000,StemCount125,StemCount175
21003,290,706.6,37.8,,,877.2,62.5,2.437,54.9,39.2,454.0,454.0,453.6,446.3
21003,300,714.3,38.1,,,892.6,62.1,2.381,55.0,39.5,448.0,448.0,447.5,440.4
21003,310,721.3,38.4,,,907.2,61.7,2.327,55.1,39.8,442.1,442.1,441.7,434.7
21003,320,727.5,38.7,,,921.1,61.4,2.273,55.2,40.1,436.5,436.5,436.1,429.2
21003,330,733.0,38.9,,,934.2,61.0,2.221,55.2,40.4,431.0,431.0,430.6,423.8
21003,340,737.9,39.2,,,946.7,60.6,2.17,55.2,40.6,425.7,425.7,425.4,418.7
21003,350,742.3,39.4,,,958.5,60.3,2.121,55.2,40.9,420.6,420.6,420.2,413.6
22001,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22001,10,0.0,4.0,,,0.3,12.7,0.0,0.2,1.8,829.6,829.6,0.0,0.0
22001,20,32.9,12.0,,,55.2,86.1,1.644,12.0,13.9,783.3,783.3,514.1,69.4
22001,30,196.9,19.2,,,228.2,95.3,6.562,31.7,22.7,775.4,775.4,758.9,657.2
22001,40,386.1,25.3,,,429.5,95.1,9.653,47.7,28.1,767.0,767.0,755.8,705.3
22001,50,590.2,30.3,,,646.6,94.6,11.804,62.0,32.4,750.2,750.2,745.0,701.6
22001,60,770.7,34.5,,,842.7,94.1,12.845,72.6,35.7,719.8,719.8,718.5,689.4
22001,70,931.7,38.1,,,1023.7,93.7,13.31,80.9,38.9,679.1,679.1,678.8,664.0
22001,80,1073.5,41.2,,,1189.8,93.2,13.419,87.2,41.8,633.0,633.0,632.8,626.1
22001,90,1194.8,43.8,,,1341.2,92.7,13.275,91.7,44.7,581.2,581.2,581.2,579.0
22001,100,1296.7,46.1,,,1477.2,92.2,12.967,94.8,47.5,530.2,530.2,530.2,529.8
22001,110,1382.8,48.2,,,1603.4,91.7,12.571,96.8,50.5,478.4,478.4,478.4,478.1
22001,120,1457.5,50.0,,,1719.1,91.2,12.146,98.2,53.3,436.1,436.1,436.1,435.9
22001,130,1520.3,51.6,,,1820.8,90.7,11.695,99.3,55.9,402.1,402.1,402.1,401.8
22001,140,1574.1,53.0,,,1915.3,90.3,11.244,100.0,58.1,374.8,374.8,374.8,374.5
22001,150,1623.9,54.3,,,2004.7,89.8,10.826,100.5,60.3,351.9,351.9,351.9,351.7
22001,160,1669.9,55.5,,,2084.5,89.3,10.437,101.2,62.1,335.1,335.1,335.1,334.9
22001,170,1710.7,56.6,,,2154.3,88.8,10.063,102.0,63.4,323.7,323.7,323.7,323.5
22001,180,1746.0,57.5,,,2217.6,88.3,9.7,102.5,64.7,313.1,313.1,313.1,312.9
22001,190,1773.3,58.4,,,2273.9,87.8,9.333,102.7,65.9,302.7,302.7,302.7,302.5
22001,200,1796.8,59.2,,,2327.0,87.3,8.984,102.8,67.0,293.3,293.3,293.3,293.1
